id,name,website,hq_or_states,source_of_name,source_url,source_type,notes,ce_verified_partner,fee_schedule_published,transparency_gate,all_in_eligible,grade_status,nr_flag,exit_flag,grade_v1,grade_v2_score,graded_as_of,grade_notes
denim,Denim,https://www.denim.com/,,InvoiceFactoringIndex tracks as factor,https://invoicefactoringindex.com/freight-factoring/companies/,listicle,Fintech freight payments/factoring — confirm still buys carrier freight invoices (not pure SaaS) in Phase 2,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
dakota-financial,Dakota Financial,https://www.dakotafinancial.com/,,HaulPay ownership context (TruckingWay),https://www.dakotafinancial.com/,listicle,Parent/owner context for HaulPay; confirm direct carrier factoring brand vs HaulPay-only,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
abc-factoring,ABC Factoring,https://abcfactoring.com/,,Domain probe / Advance Business Capital ecosystem,https://abcfactoring.com/,other,Related naming to Advance Business Capital heritage; Phase 2: confirm distinct operating entity vs Triumph history,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
foley-business-capital,Foley Business Capital,https://foleybc.com/,,Love's acquisition coverage + domain,https://loves.com/en/news/2020/july/loves-acquires-vero-business-capital-and-foley-business-capital,other,Acquired into Love's Financial (2020); domain still resolves — treat as legacy brand under Love's,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
oakhill-capital,Oakhill Capital,https://www.thetruckersreport.com/factoring-rates/,,TruckersReport compare offers,https://www.thetruckersreport.com/factoring-rates/,listicle,Listed on TruckersReport factoring offers; Phase 2: confirm canonical URL (oakhillcapital.com 403); also discovered as Corefund Capital; also discovered as CJM Financial; also discovered as FreightCheck,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
ds-factors,D&S Factors,https://dsfactors.com/,,TruckersReport + Truckstop acquisition PR,https://www.prnewswire.com/news-releases/truckstopcom-acquires-ds-factors-expanding-suite-of-payment-services-in-the-transportation-industry-300702722.html,other,Acquired by Truckstop (2018); domain still up — primary brand now Truckstop Factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
go-capital,Go Capital,https://truckstop.com/carriers/transportation-factoring/,,TruckersReport + Truckstop Go Capital naming,https://dispatched.finance/research/best-trucking-factoring-2026,listicle,aka Truckstop Go Capital — deduped toward Truckstop Factoring as primary; retained alias note,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
porter-capital,Porter Capital,https://portercap.com/,,Parent company of Porter Freight Funding,https://portercap.com/factoring-and-financing-for-trucking/,primary,Parent brand; primary carrier-facing product listed as Porter Freight Funding,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
advance-business-capital,Advance Business Capital,https://triumph.io/solutions/factoring,TX Coppell,QuickTransportSolutions historical + Triumph heritage,https://www.quicktransportsolutions.com/freight-factoring-companies.php,directory,"Historical brand; now Triumph Business Capital — aka only, website points to Triumph",N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
sunbelt-finance,Sunbelt Finance,https://sunbeltfinance.com/,AR Jonesboro,FactoringClub + company site,https://sunbeltfinance.com/,primary,Nationwide freight factoring program,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
trucking-partners-financial,Trucking Partners Financial,https://www.truckingpartners.com/,AL Cullman,FactoringClub + company site,https://www.truckingpartners.com/,primary,Update URL from directory placeholder,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
diversified-lenders,Diversified Lenders,https://diversifiedlenders.com/,TX Lubbock,FactoringClub + company trucking page,https://diversifiedlenders.com/,primary,Trucking same-day funding / fuel advances marketed,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
transwest-capital,Transwest Capital,https://www.transwestcapital.com/,CA,FactoringClub + company freight page,https://www.transwestcapital.com/services/freight-factoring,primary,Freight/trucking factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
cct-factoring,CCT Factoring,https://cctfactoring.com/,GA Atlanta,Company site (Coeur Capital affiliate),https://cctfactoring.com/,primary,aka Coeur Capital transportation factoring brand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
coeur-capital,Coeur Capital,https://coeurcap.com/,GA Atlanta,FactoringClub directory,https://coeurcap.com/,directory,Parent/affiliate of CCT Factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
transport-factoring,Transport Factoring,https://www.transportfactoring.com/,TX Irving,Company site,https://www.transportfactoring.com/,primary,Specializes in transportation receivables,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
lfy-llc,LFY LLC,https://lfyllc.com/,,Web search discovery,https://lfyllc.com/,other,Freight factoring / fuel cards marketed; Phase 2 verify scope,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
factor-funding,Factor Funding,https://factorfunding.com/,,Company transport funding page,https://factorfunding.com/transport-funding/,primary,Transport Funding / freight bill factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
united-capital-funding,United Capital Funding,https://ucfunding.com/,,Company site (UC Funding),https://ucfunding.com/,primary,Bank-owned (Gulf Coast Bank); general B2B factoring — confirm freight desk Phase 2,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
tab-bank,TAB Bank,https://www.tabbank.com/,,FreightFinder directory mention + bank site,https://www.tabbank.com/,directory,Bank offering factoring/ABL; Phase 2 confirm carrier freight marketing,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
loadpay,LoadPay,https://loadpay.com/,,Company site,https://loadpay.com/,primary,Trucking financial platform; related Triumph LoadPay ecosystem — confirm distinct factoring product vs Triumph Business Capital,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
bay-view-funding,Bay View Funding,https://www.bayviewfunding.com/,,Web search adjacent to freight factors,https://www.bayviewfunding.com/,other,General factor; Phase 2 confirm freight/trucking marketing,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
transport-funding,Transport Funding,https://transportfunding.com/,,Domain probe + Factor Funding transport page cross-ref,https://transportfunding.com/,other,May overlap Factor Funding brand — Phase 2 dedupe,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
carrier-factoring,Carrier Factoring,https://carrierfactoring.com/,,Domain resolves,https://carrierfactoring.com/,other,JS site; Phase 2 verify live freight factoring product,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
usa-factoring,USA Factoring,https://usafactoring.com/,,FreightFinder + domain,https://usafactoring.com/,directory,Update URL from directory placeholder,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
account-receivable-funding-corp,Account Receivable Funding Corp,https://accountreceivablefunding.com/,,FreightFinder + domain,https://accountreceivablefunding.com/,directory,Update URL,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
arfc,ARFC,https://arfc.com/,,Domain probe,https://arfc.com/,other,Phase 2: verify if Accounts Receivable Funding Corp brand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
marquette-commercial-finance,Marquette Commercial Finance,https://www.marquette.com/,,Known commercial finance / factoring family,https://www.marquette.com/,other,Phase 2: confirm freight marketing vs general ABL/factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
capital-plus,CapitalPlus,https://ecapital.com/,,eCapital acquisition history (Dispatched),https://dispatched.finance/research/best-trucking-factoring-2026,listicle,Acquired into eCapital; historical brand aka,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
pavestone,Pavestone Capital,https://ecapital.com/,,eCapital acquisition history (Dispatched),https://dispatched.finance/research/best-trucking-factoring-2026,listicle,Acquired into eCapital; historical brand aka,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
vero-business-capital,Vero Business Capital,https://loves.com/en/news/2020/july/loves-acquires-vero-business-capital-and-foley-business-capital,,Love's acquisition PR,https://loves.com/en/news/2020/july/loves-acquires-vero-business-capital-and-foley-business-capital,other,Acquired into Love's Financial (2020); legacy brand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
tci-business-capital,TCI Business Capital,https://getscalefunding.com/,,Former name of Scale Funding,https://getscalefunding.com/,listicle,aka under Scale Funding,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
advance-capital-solutions,Advance Capital Solutions,https://acsfactors.com/,CA,ACS legal name,https://acsfactors.com/,primary,aka ACS Factors,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
transam-financial-services,TransAm Financial Services,https://tafs.com/,KS,TAFS legal/trade name,https://tafs.com/,listicle,aka TAFS,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
fleet-one-factoring,Fleet One Factoring,https://www.wexinc.com/,,WEX Fleet One naming,https://invoicefactoringindex.com/freight-factoring/companies/,listicle,aka WEX Capital / Fleet One,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
matrack,Matrack,https://matrack.com/,,Parent of Routiqo factoring,https://matrack.com/,listicle,Telematics parent; factoring under Routiqo,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
anchor-funding-services,Anchor Funding Services,https://truckerfunds.com/,FL,TruckerFunds parent per QTS,https://truckerfunds.com/,directory,Parent of TruckerFunds,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
reliable-capital,Reliable Capital,https://www.reliablefactors.com/,,Probe,https://www.reliablefactors.com/,other,Phase 2,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
fleet-one,WEX Fleet One,https://www.wexinc.com/,,InvoiceFactoringIndex naming,https://invoicefactoringindex.com/freight-factoring/companies/,listicle,aka WEX Capital factoring,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
pavestone-capital,Pavestone Capital,https://ecapital.com/,,Dispatched eCapital M&A note,https://dispatched.finance/research/best-trucking-factoring-2026,listicle,Historical brand acquired by eCapital,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
exchange-capital,Exchange Capital,https://factoringclub.com/factoring-companies/trucking/,AR Conway,FactoringClub directory,https://factoringclub.com/factoring-companies/trucking/,directory,Phase 2: confirm canonical company URL (Conway AR),N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
eighteen-wheel-funding,18 Wheel Funding,https://18wheelfunding.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved; CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
1st-pmf-bancorp,1st PMF Bancorp,http://www.PMFbancorp.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
1st-trucking-factoring,1st Trucking Factoring,https://www.1sttrucking.com/,,QuickTransportSolutions freight-factoring directory,https://www.quicktransportsolutions.com/freight-factoring-companies.php,directory,QuickTransportSolutions freight-factoring directory — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
accord-financial,Accord Financial,https://www.accordfinancial.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,Public factoring co; CHR/FD freight category — confirm carrier O/O focus Phase 2; FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
advanced-commercial-capital,Advanced Commercial Capital,https://advancedcommercialcapital.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
advanced-invoice-funding,Advanced Invoice Funding,https://www.advancedinvoicefunding.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
aerofund-financial,AeroFund Financial,https://aerofund.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
afg-transportation-funding,AFG Transportation Funding,https://afgfunding.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
agr-financial,AGR Financial,https://agrfinancial.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
allegiant-business-finance,Allegiant Business Finance,https://allegiantbusinessfinance.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
allied-affiliated-funding,Allied Affiliated Funding,https://alliedaffiliated.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
althon-factoring,Althon Factoring Services,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
american-factoring,American Factoring Group,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
american-freight-factors,American Freight Factors,https://www.americanfreightfactors.com/,,QuickTransportSolutions freight-factoring directory,https://www.quicktransportsolutions.com/freight-factoring-companies.php,directory,QuickTransportSolutions freight-factoring directory — second-hand; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
american-prudential-capital,American Prudential Capital,https://www.americanprudentialcapital.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
amerisource-funding,AmeriSource Funding,http://www.amerisourcefunding.com/,TX,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
ameritrust-capital,AmeriTrust Capital,https://ameritrustcapital.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
applied-capital,Applied Capital,https://appliedcapital.net/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
assist-financial,Assist Financial Services,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
associated-receivables-funding,Associated Receivables Funding,https://associatedreceivables.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Website guessed/listed but HTTP probe failed or inconclusive — treat as possibly dead; confirm before fee research,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
asteria,Asteria Corp,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
atbs-express-factoring,ATBS Express Factoring,https://www.atbs.com/express-factoring,,LMDR owner-operator factoring listicle,https://www.lastmiledr.app/factoring/owner-operators,listicle,ATBS Express Factoring product; accounting firm ATBS; Listicle discovery — second-hand; verify primary site,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
atlas-factoring,Atlas Factoring,https://www.atlasfactoring.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
autumn-capital,Autumn Capital Group,,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory; Primary website not resolved in Phase 4; name retained from directory discovery,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
bam-capital,BAM Capital,https://bamcapital.com/,,C.H. Robinson approved factors PDF,https://www.chrobinson.com/en-us/-/media/chrobinson/documents/approved-factoring-companies.pdf,directory,CHR approved factoring companies list (updated 2019 PDF) — second-hand directory,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
bankers-factoring,Bankers Factoring,https://www.bankersfactoring.com/,,FactoringDirectory freight-trucking industry list,https://factoringdirectory.org/industry/freight-trucking/,directory,FactoringDirectory freight-trucking category — second-hand,N,Unknown,fail,N,Incomplete,Unknown,Unknown,Incomplete — no verified published fee schedule in census; visible in search; cannot win All-In/best.,,2026-09-16,Prefer Incomplete over invented fees. Partner badge (if any) does not change grade.
